stationid,stationname,lat,long
1,"Middelthunsgate (vis-a-vis nr. 21, retning Kirkeveien)",59.92758,10.71004
2,Middelthunsgate 28 (utenfor Frognerbadet),59.9281,10.70865
4,Hallingsgate 2 (v. St.Haugen Fargehandel),59.9228,10.73877
5,Egertorget (&#216;.Slottsgt.) ,59.9129,10.74171
6,Stortingsgt.(Spikersuppa-Studenterlunden) ,59.9138,10.73567
7,Vestbanen Nord (n&#230;rmest R&#229;dhuset) ,59.91114,10.73044
8,Vestbanen S&#248;r (v/Aker Brygge),59.91104,10.73022
9,Kirkeristen Vest (mot Glassmagasinet),59.91272,10.74815
10,Kirkeristen &#216;st (mot Storgt.),59.91259,10.74832
11,Rusel&#248;kkvn.(krysset C.Adelersgt.-Vikatorget),59.91262,10.72535
12,Amaldus Nielsenspl.(Vestkanttorget-Neuberggt.),59.92442,10.71288
13,Majorstua ,59.92885,10.71716
14,Olav V&#39;s gt (ved rundkj&#248;ringen),59.91237,10.73178
15,"Bankplassen/Kirkegt,",59.90831,10.74174
16,Knud Knudsens plass (s&#248;r for St.Hanshaugen),59.9245,10.7402
17,Pilestredet 33 (litt nord for Blitz),59.91883,10.73631
18,Christiania Torv,59.91011,10.73829
19,Oslo Plaza,59.91366,10.75677
20,Brugata Nord (ved Cafeen) ,59.9136,10.75766
21,Bislet Stadion (mot Rundkj&#248;ring i Pilestredet),59.92517,10.73095
22,Europar&#229;dets plass,59.91205,10.75027
23,Brugata S&#248;r (Vaterland n&#230;rmest Oslo Plaza),59.91346,10.75784
24,Arb.samfunnets plass (v/Sentrum Scene) ,59.91533,10.75146
25,Storgt. 27 (enden av Youngsgt./skr&#229;tt ovenf. Gunerius),59.91415,10.75181
26,C.J.Hambros plass (Tinghuset) ,59.91534,10.74107
27,R&#229;dhusgt.27 (vis-a-vis Akershus festning),59.91057,10.73793
28,Adamstuen (Krysset Theresesgt/Ullev&#229;lsvn.),59.93277,10.73496
29,Theresesgt.15-17/Stensgt. ,59.92965,10.73277
30,Oslogt. (Gamlebyen under Jernbanebro),59.90825,10.7679
31,Torggt./Jacobs kirke (Ankertorget),59.91779,10.75481
32,Parkveien/Drammensveien (v.Am.ambassade),59.91504,10.72239
33,Bygd&#248;y v/Folkemuseet,59.90761,10.68706
34,Oslo City (Stenersgt. 2),59.91277,10.75118
35,Schous plass - 1,59.92013,10.76038
36,Schous plass - 2,59.92043,10.7611
37,Johan Sverdrups plass - Vogts gate (&#248;vreTorshov),59.93148,10.76209
38,"Ullev&#229;lsveien 9 v/V&#229;r Frues hospital,ovenf Barnevognhuset",59.91991,10.74341
39,"Munkedamsvn.100, Skillebekk (Niels Juelsgt/Drm.veien)",59.91262627,10.71033814
40,Carl Berners (krysset Finnmarksgt./Frydensgt),59.92492,10.77602
41,Frognerstranda v/Kongen,59.91026596,10.70510387
42,T&#248;yen T-bane -inng.Hagegt.,59.9149,10.77391
43,Jens Bjelkesgt.(motsatt side nr.39),59.91532,10.76948
44,Sofienberggt.(krysset Toftesgt.) - Sofienbergparken ,59.92234,10.76161
45,Geitmyrsveien (krysset Collettsgt.) - Lovisenberg,59.92984,10.74361
46,Trondheimsveien 64 (v.Sofienberg holdeplass og Kiwi),59.92302,10.77166
47,Valkyrieplass (mellom Narvesen-gatekj&#248;kken),59.92821,10.71796
48,Frogner stadion v/tenninsbanene ,59.92607,10.71019
